mx,my,mz
1431,430,4151
1424,472,4282
1417,513,4406
1407,549,4550
1402,586,4681
1384,650,4946
1381,684,5083
1372,715,5202
1362,745,5331
1358,768,5465
1349,789,5594
1345,811,5721
1338,825,5859
1327,848,5976
1325,864,6106
1316,880,6220
1314,893,6339
1304,900,6481
1296,900,6628
1291,913,6737
1283,919,6861
1273,927,6976
1267,931,7095
1261,934,7218
1253,937,7332
1244,927,7488
1239,926,7595
1233,926,7706
1224,917,7834
