mx,my,mz
1317,844,5903
1311,860,6030
1294,892,6268
1288,902,6388
1280,914,6500
1273,923,6627
1267,928,6736
1255,935,6859
1247,934,6998
1242,942,7094
1232,934,7228
1227,927,7368
1211,913,7718
